timeStamp,sequence,throttlePrediction
10:43:36.639,0,1981
10:43:36.639,1,1966
10:43:36.639,2,1980
10:43:36.639,3,1981
10:43:36.639,4,1966
10:43:36.639,5,1980
10:43:36.639,6,1981
10:43:36.639,7,1966
10:43:36.639,8,1980
10:43:36.639,9,1981
10:43:50.224,0,1981
10:43:50.224,1,1966
10:43:50.224,2,1980
10:43:50.224,3,1981
10:43:50.224,4,1966
10:43:50.224,5,1980
10:43:50.224,6,1981
10:43:50.224,7,1966
10:43:50.224,8,1980
10:43:50.224,9,1981
10:43:51.623,0,1981
10:43:51.623,1,1966
10:43:51.623,2,1980
10:43:51.623,3,1981
10:43:51.623,4,1966
10:43:51.623,5,1980
10:43:51.623,6,1981
10:43:51.623,7,1966
10:43:51.623,8,1980
10:43:51.623,9,1981
10:43:53.914,0,1981
10:43:53.914,1,1966
10:43:53.914,2,1980
10:43:53.914,3,1981
10:43:53.914,4,1966
10:43:53.914,5,1980
10:43:53.914,6,1981
10:43:53.914,7,1966
10:43:53.914,8,1980
10:43:53.914,9,1981
10:43:56.226,0,1981
10:43:56.226,1,1966
10:43:56.226,2,1980
10:43:56.226,3,1981
10:43:56.226,4,1966
10:43:56.226,5,1980
10:43:56.226,6,1981
10:43:56.226,7,1966
10:43:56.226,8,1980
10:43:56.226,9,1981
10:43:58.703,0,1981
10:43:58.703,1,1966
10:43:58.703,2,1980
10:43:58.703,3,1981
10:43:58.703,4,1966
10:43:58.703,5,1980
10:43:58.703,6,1981
10:43:58.703,7,1966
10:43:58.703,8,1980
10:43:58.703,9,1981
10:44:01.153,0,1981
10:44:01.153,1,1966
10:44:01.153,2,1980
10:44:01.153,3,1981
10:44:01.153,4,1966
10:44:01.153,5,1980
10:44:01.153,6,1981
10:44:01.153,7,1966
10:44:01.153,8,1980
10:44:01.153,9,1981
10:44:03.773,0,1981
10:44:03.773,1,1966
10:44:03.773,2,1980
10:44:03.773,3,1981
10:44:03.773,4,1966
10:44:03.773,5,1980
10:44:03.773,6,1981
10:44:03.773,7,1966
10:44:03.773,8,1980
10:44:03.773,9,1981
10:44:07.394,0,1981
10:44:07.394,1,1966
10:44:07.394,2,1980
10:44:07.394,3,1981
10:44:07.394,4,1966
10:44:07.394,5,1980
10:44:07.394,6,1981
10:44:07.394,7,1966
10:44:07.394,8,1980
10:44:07.394,9,1981
10:44:11.889,0,1981
10:44:11.889,1,1966
10:44:11.889,2,1980
10:44:11.889,3,1981
10:44:11.889,4,1966
10:44:11.889,5,1980
10:44:11.889,6,1981
10:44:11.889,7,1966
10:44:11.889,8,1980
10:44:11.889,9,1981
10:44:16.232,0,1981
10:44:16.232,1,1966
10:44:16.232,2,1980
10:44:16.232,3,1981
10:44:16.232,4,1966
10:44:16.232,5,1980
10:44:16.232,6,1981
10:44:16.232,7,1966
10:44:16.232,8,1980
10:44:16.232,9,1981
10:44:19.668,0,1981
10:44:19.668,1,1966
10:44:19.668,2,1980
10:44:19.668,3,1981
10:44:19.668,4,1966
10:44:19.668,5,1980
10:44:19.668,6,1981
10:44:19.668,7,1966
10:44:19.668,8,1980
10:44:19.668,9,1981
10:44:23.437,0,1981
10:44:23.437,1,1966
10:44:23.437,2,1980
10:44:23.437,3,1981
10:44:23.437,4,1966
10:44:23.437,5,1980
10:44:23.437,6,1981
10:44:23.437,7,1966
10:44:23.437,8,1980
10:44:23.437,9,1981
10:44:28.092,0,1981
10:44:28.092,1,1966
10:44:28.092,2,1980
10:44:28.092,3,1981
10:44:28.092,4,1966
10:44:28.092,5,1980
10:44:28.092,6,1981
10:44:28.092,7,1966
10:44:28.092,8,1980
10:44:28.092,9,1981
10:44:32.409,0,1981
10:44:32.409,1,1966
10:44:32.409,2,1980
10:44:32.409,3,1981
10:44:32.409,4,1966
10:44:32.409,5,1980
10:44:32.409,6,1981
10:44:32.409,7,1966
10:44:32.409,8,1980
10:44:32.409,9,1981
10:44:37.830,0,1981
10:44:37.830,1,1966
10:44:37.830,2,1980
10:44:37.830,3,1981
10:44:37.830,4,1966
10:44:37.830,5,1980
10:44:37.830,6,1981
10:44:37.830,7,1966
10:44:37.830,8,1980
10:44:37.830,9,1981
